iter	Passed	Remaining
403	9230	13617
404	9250	13590
405	9271	13564
406	9296	13544
407	9316	13517
408	9338	13493
409	9361	13471
410	9381	13444
411	9401	13418
412	9425	13397
413	9445	13369
414	9466	13344
415	9493	13327
416	9518	13307
417	9539	13282
418	9563	13260
419	9583	13233
420	9604	13209
421	9630	13190
422	9652	13166
423	9677	13146
424	9697	13120
425	9718	13094
426	9742	13073
427	9764	13050
428	9785	13024
429	9809	13003
430	9829	12976
431	9849	12949
432	9874	12930
433	9895	12904
434	9916	12879
435	9940	12858
436	9961	12834
437	9989	12817
438	10013	12796
439	10036	12774
440	10060	12752
441	10083	12729
442	10104	12704
443	10128	12683
444	10149	12658
445	10171	12634
446	10196	12614
447	10217	12589
448	10241	12567
449	10263	12543
450	10283	12518
451	10307	12497
452	10328	12471
453	10348	12445
454	10372	12423
455	10392	12398
456	10413	12372
457	10437	12351
458	10459	12328
459	10482	12306
460	10506	12284
461	10528	12260
462	10549	12235
463	10572	12213
464	10594	12189
465	10614	12163
466	10639	12143
467	10660	12117
468	10680	12092
469	10705	12072
470	10724	12045
471	10746	12021
472	10770	11999
473	10789	11972
474	10809	11946
475	10834	11926
476	10853	11900
477	10875	11876
478	10908	11864
479	10931	11842
480	10951	11816
481	10972	11791
482	10996	11771
483	11016	11744
484	11037	11719
485	11060	11697
486	11082	11674
487	11166	11716
488	11189	11693
489	11211	11669
490	11235	11647
491	11255	11621
492	11279	11599
493	11302	11577
494	11321	11549
495	11343	11526
496	11366	11503
497	11385	11476
498	11408	11454
499	11433	11433
500	11453	11407
501	11476	11385
502	11498	11361
503	11519	11336
504	11542	11313
505	11565	11291
506	11589	11269
507	11610	11244
508	11631	11220
509	11658	11201
510	11678	11175
511	11700	11151
512	11724	11130
513	11744	11104
514	11765	11080
515	11788	11057
516	11808	11031
517	11829	11006
518	11851	10983
519	11872	10959
520	11895	10936
521	11920	10915
522	11941	10891
523	11964	10868
524	11989	10847
525	12012	10824
526	12036	10803
527	12059	10780
528	12080	10756
529	12118	10746
530	12140	10722
531	12163	10700
532	12185	10676
533	12206	10651
534	12228	10628
535	12250	10604
536	12272	10580
537	12293	10557
538	12314	10532
539	12335	10508
540	12357	10484
541	12378	10460
542	12404	10440
543	12427	10416
544	12447	10391
545	12468	10367
546	12491	10344
547	12510	10318
548	12533	10295
549	12553	10271
550	12576	10248
551	12600	10226
552	12620	10201
553	12640	10176
554	12665	10155
555	12686	10131
556	12707	10106
557	12731	10084
558	12751	10059
559	12772	10035
560	12796	10013
561	12817	9989
562	12837	9964
563	12860	9942
564	12882	9918
565	12902	9893
566	12926	9871
567	12946	9846
568	12968	9823
569	12991	9800
570	13011	9775
571	13033	9752
572	13058	9731
573	13077	9705
574	13099	9682
575	13123	9660
576	13142	9634
577	13164	9611
578	13188	9589
579	13209	9565
580	13230	9541
581	13253	9518
582	13275	9495
583	13295	9470
584	13318	9448
585	13339	9424
586	13364	9403
587	13388	9381
588	13409	9357
589	13433	9335
590	13456	9312
591	13476	9287
592	13500	9266
593	13521	9242
594	13542	9217
595	13566	9196
596	13585	9170
597	13605	9146
598	13629	9124
599	13651	9100
600	13670	9076
601	13694	9053
602	13715	9029
603	13736	9006
604	13761	8984
605	13781	8960
606	13801	8935
607	13824	8913
608	13851	8893
609	13876	8871
610	13900	8849
611	13922	8826
612	13947	8805
613	13969	8782
614	13989	8757
615	14015	8737
616	14036	8713
617	14056	8688
618	14080	8666
619	14100	8642
620	14121	8618
621	14145	8596
622	14165	8572
623	14186	8548
624	14209	8525
625	14230	8501
626	14251	8478
627	14275	8456
628	14295	8431
629	14319	8409
630	14343	8387
631	14364	8364
632	14385	8340
633	14408	8317
634	14429	8294
635	14450	8270
636	14474	8248
637	14494	8224
638	14516	8200
639	14538	8177
640	14558	8153
641	14579	8130
642	14603	8107
643	14623	8083
644	14643	8059
645	14667	8037
646	14688	8013
647	14710	7990
648	14734	7968
649	14754	7944
650	14776	7921
651	14798	7898
652	14817	7873
653	14837	7849
654	14860	7827
655	14882	7804
656	14904	7781
657	14932	7761
658	14952	7737
659	14978	7716
660	14999	7692
661	15020	7669
662	15044	7647
663	15065	7623
664	15086	7600
665	15111	7578
666	15131	7554
667	15152	7531
668	15174	7508
669	15195	7484
670	15217	7461
671	15238	7437
672	15258	7413
673	15282	7391
674	15305	7369
675	15326	7345
676	15347	7322
677	15371	7300
678	15392	7276
679	15413	7253
680	15437	7231
681	15456	7207
682	15479	7184
683	15502	7161
684	15523	7138
685	15543	7114
686	15566	7092
687	15587	7068
688	15608	7045
689	15631	7023
690	15651	6998
691	15673	6976
692	15707	6958
693	15727	6934
694	15749	6911
695	15770	6888
696	15797	6867
697	15823	6846
698	15849	6824
699	15871	6801
700	15894	6779
701	15917	6756
702	15937	6733
703	15959	6710
704	15983	6688
705	16003	6664
706	16026	6641
707	16050	6619
708	16069	6595
709	16092	6572
710	16114	6550
711	16134	6526
712	16156	6503
713	16178	6480
714	16197	6456
715	16219	6433
716	16246	6412
717	16266	6388
718	16291	6366
719	16309	6342
720	16330	6319
721	16354	6297
722	16377	6274
723	16397	6251
724	16421	6228
725	16442	6205
726	16463	6182
727	16487	6160
728	16507	6136
729	16528	6113
730	16552	6091
731	16572	6067
732	16593	6044
733	16616	6021
734	16637	5998
735	16658	5975
736	16682	5953
737	16701	5929
738	16722	5906
739	16744	5883
740	16765	5859
741	16786	5836
742	16809	5814
743	16829	5790
