iter	Logloss
0	0.4434581866
1	0.3529472555
2	0.274721763
3	0.2122170272
4	0.199656978
5	0.1725284265
6	0.1499500554
7	0.1335516757
8	0.1259806692
9	0.1116719608
10	0.1057758784
11	0.09529840696
12	0.0836151082
13	0.07643080105
14	0.07100752199
15	0.0628542818
16	0.05601863553
17	0.04979446596
18	0.04275435882
19	0.03889480485
20	0.03578982937
21	0.03378544262
22	0.03207733764
23	0.03015648915
24	0.02880300026
25	0.0274742479
26	0.02637824004
27	0.02551633828
28	0.02440566761
29	0.02373260305
30	0.0232116334
31	0.02266292891
32	0.02173321405
33	0.02090614911
34	0.02006630958
35	0.01905427661
36	0.01853717359
37	0.01752774174
38	0.01704589861
39	0.01649963711
40	0.01597563495
41	0.01554934958
42	0.01509816935
43	0.01474205242
44	0.01421564789
45	0.01387626564
46	0.01355633094
47	0.01306897046
48	0.01273860373
49	0.01223711927
50	0.01198609816
51	0.01171529542
52	0.01135424727
53	0.01120120221
54	0.01097149405
55	0.01074649344
56	0.01056352306
57	0.01037477203
58	0.01028185338
59	0.01016095551
60	0.01006817735
61	0.009926818995
62	0.009737254787
63	0.009468601396
64	0.009328944733
65	0.009169858017
66	0.008955901192
67	0.008742964374
68	0.008525817725
69	0.008351038079
70	0.008135183825
71	0.008058310217
72	0.007861718052
73	0.00775791373
74	0.007705321896
75	0.007658947216
76	0.007571813567
77	0.0075005178
78	0.007360721411
79	0.00722069858
80	0.007149658904
81	0.007014912796
82	0.006905772504
83	0.006763457749
84	0.006679064199
85	0.006595295795
86	0.006481798253
87	0.006389301635
88	0.006342529535
89	0.006307636907
90	0.006268920069
91	0.006186893455
92	0.006129808817
93	0.00606853759
94	0.006001349055
95	0.005949248044
96	0.005881206744
97	0.005828482353
98	0.005783021684
99	0.005704022038
100	0.005679466582
101	0.005614826361
102	0.005572192422
103	0.005498333979
104	0.00543821884
105	0.005410857672
106	0.005352484077
107	0.005320195033
108	0.00526460964
109	0.005209873578
110	0.005168427558
111	0.005131631482
112	0.005091305384
113	0.005053760118
114	0.005005763247
115	0.004956924366
116	0.004911459892
117	0.00487034935
118	0.004830390209
119	0.004792877013
120	0.004751207072
121	0.004729547531
