iter	MultiClass
0	1.047051927
1	1.007654114
2	0.9667828719
3	0.9192274851
4	0.8898680336
5	0.864625073
6	0.8351585293
7	0.8040397932
8	0.7659065177
9	0.7493716544
10	0.7282284699
11	0.7070217406
12	0.6872349399
13	0.6734931177
14	0.6518161834
15	0.6335104374
16	0.6180979877
17	0.6054633162
18	0.5927168644
19	0.582095316
20	0.570592226
21	0.5587451996
22	0.5528762157
23	0.5440641979
24	0.536193721
25	0.5256482476
26	0.5137189272
27	0.5052275421
28	0.4965058391
29	0.4836312696
30	0.4746048542
31	0.4676169269
32	0.4593354744
33	0.4518056466
34	0.4451245951
35	0.4403898423
36	0.4355986407
37	0.4290633004
38	0.4235074728
39	0.41893682
40	0.413760323
41	0.4083303118
42	0.4048527064
43	0.4001630846
44	0.3955305191
45	0.3916785973
46	0.387418055
47	0.3829443535
48	0.3779982606
49	0.3726354911
50	0.3682893782
51	0.3645755531
52	0.361148819
53	0.3562405785
54	0.3526033475
55	0.3493917985
56	0.3459367693
57	0.3423272137
58	0.3388131096
59	0.3354688606
60	0.3305369465
61	0.3279676547
62	0.3254378075
63	0.322997801
64	0.3188631744
65	0.3160956308
66	0.3131215677
67	0.3103012487
68	0.3070769841
69	0.3042619818
70	0.3007774517
71	0.2981866437
72	0.2955174583
73	0.2929693135
74	0.2899859387
75	0.2874830651
76	0.2856740492
77	0.2839611147
78	0.2815298585
79	0.2793143482
80	0.2772129497
81	0.2740690221
82	0.2713996687
83	0.2690390066
84	0.266865226
85	0.2646249416
86	0.2612907759
87	0.2595026351
88	0.2574846779
89	0.255335319
90	0.2532382636
91	0.2513173144
92	0.2493259485
93	0.2473773332
94	0.2446370365
95	0.2432372075
96	0.2408801561
97	0.2389040219
98	0.2374898398
99	0.2356379632
100	0.2339790184
101	0.2325179678
102	0.2302449932
103	0.2281867031
104	0.2270081455
105	0.2255088071
106	0.2232276915
107	0.2218518363
108	0.2208776759
109	0.2199550389
110	0.2182811497
111	0.2168599026
112	0.2148230837
113	0.2132754111
114	0.2117373588
115	0.2104907909
116	0.2097115147
117	0.2080446855
118	0.206301204
119	0.2047416651
120	0.2031431189
121	0.2021543254
122	0.2009815764
123	0.1995248398
124	0.1985550737
125	0.1969644836
126	0.1958809019
127	0.1944378579
128	0.1924795095
129	0.1915494931
130	0.1901892465
131	0.1887186397
132	0.1871461086
133	0.1857189136
134	0.1850258937
135	0.1843436109
136	0.183447842
137	0.1823768205
138	0.1811703851
139	0.1802195961
140	0.1792261972
141	0.1784387698
142	0.1777260698
143	0.176540524
144	0.1749753313
145	0.1741040321
146	0.1726279793
147	0.1719439407
148	0.1710870367
149	0.1700043428
150	0.1688378429
151	0.1680831389
152	0.1673008173
153	0.1665396708
154	0.1652345931
155	0.1645223972
156	0.1635307218
157	0.1622355502
158	0.1615035327
159	0.1605924352
160	0.1596492041
161	0.1588026659
162	0.1579302169
163	0.157273646
164	0.1566686659
165	0.1562815722
166	0.1554468389
167	0.1543284746
168	0.1536841965
169	0.1528820943
170	0.1521131075
171	0.1511233985
172	0.150691342
173	0.1500504937
174	0.1492739308
175	0.1486340339
176	0.1477174779
177	0.147331485
178	0.1466793174
179	0.1458540973
180	0.1450479357
181	0.144049592
182	0.1435164721
183	0.142979258
184	0.142489352
185	0.1419633602
186	0.1415508008
187	0.1409555181
188	0.1404794438
189	0.1399201331
190	0.1391403813
191	0.1385449672
192	0.1379455041
193	0.1371080427
194	0.1366252215
195	0.1360346228
196	0.1353935934
197	0.1347036027
198	0.1340357607
199	0.1335521681
200	0.1328747075
201	0.1324452294
202	0.1319296045
203	0.1312036061
204	0.1304335797
205	0.1300257032
206	0.129467957
207	0.1290583674
208	0.1287253388
209	0.1283513189
210	0.1279606214
211	0.127420383
212	0.1268701849
213	0.12637034
214	0.1260081878
215	0.125557246
216	0.1251352829
217	0.1247046131
218	0.1243525415
219	0.1239249679
220	0.1235389851
221	0.1230713241
222	0.1225690425
223	0.1221314996
224	0.1218901984
225	0.1213607004
226	0.1210706122
227	0.1207037242
228	0.1203202274
229	0.119908181
230	0.1193962597
231	0.1189947044
232	0.1187278551
233	0.1183495792
234	0.1180389355
235	0.1175291437
236	0.1171597757
237	0.1167293283
238	0.1162776882
239	0.1159804382
240	0.11556646
241	0.1153044626
242	0.1149661793
243	0.114760294
244	0.1144156625
245	0.1141184475
246	0.1138941226
247	0.1136393152
248	0.113223318
249	0.1129149269
250	0.1125857084
251	0.1120975251
252	0.1117307415
253	0.111472443
254	0.1111932676
255	0.1110272099
256	0.1107020367
257	0.1102379181
258	0.1099237085
259	0.109739827
260	0.1095006025
261	0.1091180804
262	0.1087491333
263	0.1084900902
264	0.1081300866
265	0.1078320834
266	0.1075607787
267	0.1073426652
268	0.1070580806
269	0.1068513057
270	0.10663718
271	0.1063933153
272	0.1061562157
273	0.1058518588
274	0.1055092938
275	0.105338201
276	0.1049891957
277	0.104733398
278	0.1045617304
279	0.1043603324
280	0.1041228988
281	0.1038266625
282	0.1035608377
283	0.1033095078
284	0.1030472307
285	0.1027242037
286	0.1025484746
287	0.1022687513
288	0.1019913136
289	0.1017996156
290	0.1015744273
291	0.1013950093
292	0.1011141113
293	0.1009595648
294	0.1006303885
295	0.1004571111
296	0.1001605447
297	0.09996003423
298	0.09976791816
299	0.09962365616
300	0.09930807075
301	0.09905484386
302	0.09884270107
303	0.09862509072
304	0.09847432095
305	0.09832018039
306	0.09808023722
307	0.09786807235
308	0.09766075315
309	0.09739631615
310	0.09719236095
311	0.09703724875
312	0.09685798443
313	0.09670570464
314	0.0964924291
315	0.09640105089
316	0.09623912895
317	0.09609963202
318	0.09592172434
319	0.09568601059
320	0.09543990178
321	0.09531333406
322	0.09507962622
323	0.09491909371
324	0.09475184938
325	0.09455577515
326	0.09440938842
327	0.09423846744
328	0.09407400851
329	0.09390887532
330	0.0937671873
331	0.09366337446
332	0.09355186182
333	0.09335177711
334	0.09325008176
335	0.09310253356
336	0.09292584187
337	0.09277160938
338	0.09263744249
339	0.09242336944
340	0.09234690755
341	0.09216688622
342	0.09203034793
343	0.0919055555
344	0.09176618477
345	0.091584347
346	0.09145970855
347	0.09127738979
348	0.09113919405
349	0.09097071526
350	0.09080972322
351	0.09065132082
352	0.09049146687
353	0.09024145501
354	0.09007412271
355	0.0899370131
356	0.08984088757
357	0.08974396531
358	0.08963558348
359	0.08940461792
360	0.08924567011
361	0.08914769062
362	0.08902939497
363	0.08891227625
364	0.08881889598
365	0.08863505289
366	0.08849282312
367	0.08840832158
368	0.0882451119
369	0.08811077183
370	0.08801904657
371	0.08793734004
372	0.08781723596
373	0.08773518189
374	0.08757200883
375	0.08748215935
376	0.08736961252
377	0.08725205096
378	0.08713491823
379	0.08698442011
380	0.08687713537
381	0.08678123129
382	0.08669959767
383	0.08655253924
384	0.08645130326
385	0.08635240853
386	0.08622874307
387	0.08610192586
388	0.08600059645
389	0.08589304032
390	0.0858085413
391	0.08570188904
392	0.08554740197
393	0.08543144904
394	0.08528627216
395	0.08519565331
396	0.08508761722
397	0.08494787884
398	0.08485286547
399	0.08471737976
400	0.08452152473
401	0.08441726618
402	0.08427537619
403	0.08418169801
404	0.08403989094
405	0.08391459645
406	0.08378192371
407	0.08367715863
408	0.08354196028
409	0.08346164575
410	0.08334150903
411	0.08323681049
412	0.08311139082
413	0.0830166222
414	0.08295286539
415	0.08285902712
416	0.08275291893
417	0.08265592177
418	0.08253067734
419	0.08239468628
420	0.08233821622
421	0.08223997305
422	0.08207133391
423	0.08199984844
424	0.08187200191
425	0.08175933827
426	0.08165486356
427	0.08158264713
428	0.08144662464
429	0.08131691954
430	0.08123473004
431	0.08113865812
432	0.0810619032
433	0.08095898314
434	0.08086914419
435	0.08074299589
436	0.080651033
437	0.08055567043
438	0.08049139756
439	0.08040953443
440	0.08034249861
441	0.08021498445
442	0.08010070219
443	0.07999043369
444	0.07989187152
445	0.07980546028
446	0.07971165669
447	0.07960087078
448	0.07949240739
449	0.07943420715
450	0.07936003763
451	0.07919807701
452	0.0791203956
453	0.07903991035
454	0.07895366309
455	0.07888487814
456	0.0787969321
457	0.07869950621
458	0.07857689268
459	0.07847399668
460	0.07836646465
461	0.07828683624
462	0.07818771219
463	0.07810947525
464	0.07800132292
465	0.07794275419
466	0.07786795555
467	0.07779045529
468	0.07771201922
469	0.07765509176
470	0.07759144341
471	0.07754652105
472	0.07748141252
473	0.07738828624
474	0.07729997177
475	0.07725246962
476	0.07719478646
477	0.07712689345
478	0.07705017161
479	0.0769831014
480	0.07692181025
481	0.07685744816
482	0.07680757263
483	0.07666738041
484	0.0765804919
485	0.07654533746
486	0.07643741878
487	0.07637929475
488	0.07628853636
489	0.07623314995
490	0.07615075598
491	0.07608240379
492	0.07601324057
493	0.07596208375
494	0.07586812076
495	0.07579583679
496	0.07572037923
497	0.07566652307
498	0.07561269079
499	0.07547148096
500	0.07539902727
501	0.07533537983
502	0.07526227746
503	0.0752092237
504	0.07515557819
505	0.07509441188
506	0.07504033243
507	0.07495201545
508	0.07487473725
509	0.07482881225
510	0.07476547688
511	0.07471082205
512	0.07463257516
513	0.07457094434
514	0.07452760226
515	0.07445636008
516	0.07439455454
517	0.07433056137
518	0.07428277614
519	0.0741979125
520	0.07414726047
521	0.07403826307
522	0.07399212562
523	0.07392069786
524	0.07384659371
525	0.07377657339
526	0.07369718103
527	0.07363601939
528	0.0735476999
529	0.0734997101
530	0.07341128604
531	0.07334660583
532	0.07329439839
533	0.07325397061
534	0.07318484563
535	0.07312942431
536	0.07305735901
537	0.07302163768
538	0.07295689634
539	0.07287962142
540	0.07282940914
541	0.07276984694
542	0.07269789344
543	0.07262671358
544	0.07258533571
545	0.07255014266
546	0.07246616898
547	0.07241463742
548	0.07236873246
549	0.0723297922
550	0.07223770215
551	0.07219225513
552	0.07213706694
553	0.07210024374
554	0.07203623696
555	0.07199430805
556	0.07196671237
557	0.07193375621
558	0.07187050766
559	0.07182887602
560	0.07178272099
561	0.07174644267
562	0.07167872467
563	0.07164085722
564	0.07160995297
565	0.07150159417
566	0.07143201012
567	0.07139327347
568	0.07133517699
569	0.07127697299
570	0.07122148626
571	0.07116978827
572	0.071129611
573	0.07108991844
574	0.07105822274
575	0.07098967443
576	0.07093862288
577	0.07089515441
578	0.07082719134
579	0.07077822563
580	0.07070301382
581	0.07063622698
582	0.07057940963
583	0.07054241713
584	0.07049965769
585	0.07045302684
586	0.07039236069
587	0.07033293521
588	0.07028712159
589	0.07025734619
590	0.07021266502
591	0.07018898977
592	0.07015227285
593	0.07012700445
594	0.0700830889
595	0.07002486831
596	0.06996994866
597	0.06990027755
598	0.06983807152
599	0.06978714638
600	0.06975281869
601	0.06970910992
602	0.06967936344
603	0.06961801311
604	0.06957803457
605	0.069543231
606	0.06950125453
607	0.06946212097
608	0.06943147223
609	0.06938435254
610	0.06931909132
611	0.06926897313
612	0.06922899313
613	0.06916911294
614	0.06910880016
615	0.069069134
616	0.06901674136
617	0.06896035435
618	0.06891466432
619	0.06888295098
620	0.06884317436
621	0.06876569655
622	0.06872334791
623	0.06869438044
624	0.06864973101
625	0.06861216178
626	0.06858332656
627	0.06854103888
628	0.06850760653
629	0.06847879293
630	0.06842720578
631	0.06839614448
632	0.06835274383
633	0.06830951227
634	0.06826207041
635	0.06822277118
636	0.06817002781
637	0.06812937672
638	0.06808771
639	0.06806799585
640	0.06802915553
641	0.06797653639
642	0.06793817671
643	0.06788636962
644	0.06785647671
645	0.06778460187
646	0.06774598632
647	0.06772756114
648	0.06769546114
649	0.06763695632
650	0.06760676442
651	0.06755610526
652	0.06750445346
653	0.06746470239
654	0.06742021168
655	0.06738050011
656	0.06734869187
657	0.0673035706
658	0.06727179382
659	0.06724860819
660	0.06722842763
661	0.06719296754
662	0.06716951582
663	0.06711492397
664	0.06706315951
665	0.06704117384
666	0.06700094951
667	0.06696685763
668	0.06694839018
669	0.06690635925
670	0.06688086731
671	0.06684504386
672	0.06681191436
673	0.06676260847
674	0.06670665968
675	0.06668187813
676	0.06662419902
677	0.06657688301
678	0.066547529
679	0.06651807577
680	0.06646637053
681	0.06644730692
682	0.0664339182
683	0.06640058058
684	0.06635864337
685	0.06631945939
686	0.06630324802
687	0.06625423868
688	0.06622729494
689	0.06617913438
690	0.06614660461
691	0.06611474542
692	0.06608999136
693	0.06606341105
694	0.06602914517
695	0.06599862462
696	0.06596964606
697	0.06594399346
698	0.06588547117
699	0.06583047152
700	0.06580640955
701	0.06578353155
702	0.0657434911
703	0.06570466398
704	0.06567220591
